individualCount,eventID,decimalLatitude,decimalLongitude,vernacularName
4,23375,44.624666,-66.512166,WHALE-RIGHT
4,19054,44.571666,-66.563833,WHALE-RIGHT
4,19052,44.548333,-66.528333,WHALE-RIGHT
4,19057,44.648333,-66.547166,WHALE-RIGHT
4,19055,44.571666,-66.575666,WHALE-RIGHT
4,11556,44.818666,-66.768666,WHALE-RIGHT
4,8114,44.588333,-66.508333,WHALE-RIGHT
4,8516,44.674,-66.493,WHALE-RIGHT
4,7512,43.973333,-66.978333,WHALE-RIGHT
4,8674,44.593833,-66.4395,WHALE-RIGHT
4,8681,44.592333,-66.457,WHALE-RIGHT
4,8656,44.6025,-66.428666,WHALE-RIGHT
4,8654,44.604833,-66.435666,WHALE-RIGHT
4,8569,44.685666,-66.475666,WHALE-RIGHT
4,8573,44.630833,-66.468166,WHALE-RIGHT
4,8576,44.646,-66.4565,WHALE-RIGHT
4,8568,44.717666,-66.479,WHALE-RIGHT
4,8556,44.636,-66.488166,WHALE-RIGHT
4,8559,44.669666,-66.504333,WHALE-RIGHT
4,6704,44.55,-66.438333,WHALE-RIGHT
4,6523,43.618333,-60.118333,WHALE-RIGHT
4,6240,44.65,-57.316666,WHALE-RIGHT
4,6212,45.143833,-56.411833,WHALE-RIGHT
4,2705,44.6675,-66.429833,WHALE-RIGHT
4,2600,44.701166,-66.454,WHALE-RIGHT
4,1788,44.516833,-66.5855,WHALE-RIGHT
4,1787,44.529333,-66.592666,WHALE-RIGHT
4,1759,44.6095,-66.509833,WHALE-RIGHT
4,1758,44.6065,-66.513833,WHALE-RIGHT
4,1704,44.5995,-66.498,WHALE-RIGHT
4,3544,44.406,-66.504,WHALE-RIGHT
4,3505,43.539,-67.107,WHALE-RIGHT
4,3478,43.549,-67.906,WHALE-RIGHT
4,3083,44.722333,-66.372333,WHALE-RIGHT
4,590,44.6245,-66.438,WHALE-RIGHT
4,655,44.682,-66.458,WHALE-RIGHT
4,632,44.628333,-66.434666,WHALE-RIGHT
4,623,44.665666,-66.438666,WHALE-RIGHT
4,628,44.611666,-66.439,WHALE-RIGHT
4,601,44.6435,-66.425666,WHALE-RIGHT
4,605,44.655166,-66.411,WHALE-RIGHT
4,589,44.6245,-66.438,WHALE-RIGHT
4,584,44.627,-66.334666,WHALE-RIGHT
4,578,44.665333,-66.5,WHALE-RIGHT
4,567,44.635,-66.4995,WHALE-RIGHT
4,571,44.626666,-66.44,WHALE-RIGHT
3,73860,44.412,-66.713166,WHALE-RIGHT
3,39487,44.6585,-66.485666,WHALE-RIGHT
3,39484,44.644666,-66.484,WHALE-RIGHT
3,69607,44.644666,-66.464333,WHALE-RIGHT
3,69939,44.537666,-66.559,WHALE-RIGHT
3,95514,44.543,-66.488333,WHALE-RIGHT
3,134623,44.6072,-66.4882,WHALE-RIGHT
3,134514,44.7066,-66.46,WHALE-RIGHT
3,134559,44.56609,-66.52676,WHALE-RIGHT
3,134466,43.05023,-65.08975,WHALE-RIGHT
3,134491,42.96381,-65.23974,WHALE-RIGHT
3,134458,43.00646,-65.11797,WHALE-RIGHT
3,134490,42.9796,-65.18596,WHALE-RIGHT
3,134459,43.00344,-65.11817,WHALE-RIGHT
3,134473,43.09888,-65.07116,WHALE-RIGHT
3,143970,41.057,-70.6203,WHALE-RIGHT
3,127846,44.265,-66.45567,WHALE-RIGHT
3,19050,44.506666,-66.481833,WHALE-RIGHT
3,19048,44.6,-66.4775,WHALE-RIGHT
3,2764,44.585333,-66.585166,WHALE-RIGHT
3,2603,44.704166,-66.458833,WHALE-RIGHT
3,119632,45.475333,-58.468333,WHALE-RIGHT
3,23350,44.646,-66.444833,WHALE-RIGHT
3,121637,43.183889,-61.485278,WHALE-RIGHT
3,122156,41.115,-64.58,WHALE-RIGHT
3,121695,48.10645,-63.55718,WHALE-RIGHT
